001,245$a,500,538,007$00,336,337,338,245$h,008$31
"994312090102311","Looking for Renaissance Rome.",,,"m",,,,"[motion picture] /","\"
"995632530102311","Stitchery for children",,,,,,,,"0"
"994513550102311","The Land.","Title from data sheet.;U standard.;Issued in 1941 as 16 mm. motion picture.",,"v",,,,"[videorecording] /","\"
"994144300102311","The Merchant of Venice",,,"v",,,,"[videorecording] /","\"
"995496520102311","Appalachia in perspective","Reproduction from U-matic.;Taped on May 12, 1983 at the Communications Building Auditorium, University of Tennessee, Knoxville.;Funded by a grant from the Andrew W. Mellon Foundation.","DVD.",,,,,"[videorecording] :","\"
"992593540102311","The fleet that came to stay.","Videocassette copy.;Order no. MN5802.",,"m",,,,"[motion picture] /","\"
"995323810102311","Strip mining",,"U-matic.","v",,,,"[videorecording] :","\"
"993836980102311","The Incas.",,,"v",,,,"[videorecording]","\"
"995630520102311","Elementary creative bullitin boards",,,,,,,,"0"
"994513560102311","Valley of the Tennessee.","Title from data sheet.;U standard.;Issued in 1945 as motion picture.",,"v",,,,"[videorecording] /","\"
"995281330102311","Portrait of a coast","Title from data sheet.;Intended audience: High school through college students and adults.",,"m",,,,"[motion picture] /","\"
"995542090102311","Drifting continents",,,"m",,,,"[motion picture] /","\"
"992075180102311","Reflections--Margaret Mead.","Title from data sheet.;Available in cassette (U standard 3/4 in. or Beta 1 1/2 in. or Beta 2 1/2 in. or VHS 1/2 in.) or on reel (1 in. or 2 in.);Also issued as motion picture.",,"v",,,,"[videorecording] /","\"
"995253120102311","The one minute manager","Based on the book: The one minute manager.",,"v",,,,"[videorecording] /","\"
"995386830102311","Why man creates.",,,"m",,,,"[motion picture] /","\"
"994865820102311","Aggressive energy management.","Title from data sheet.;Producer, Roger A. Shinn.",,"m",,,,"[motion picture] /","\"
"993708100102311","Eudora Welty.",,,"v",,,,"[videorecording]","\"
"994128120102311","Roy Wilkins :","Title from data sheet.;U standard.;Also issued as motion picture.",,"v",,,,"[videorecording] /","\"
"994480050102311","The day after trinity",,,"v",,,,"[videorecording] /","\"
"994932030102311","Communicating non-defensively","Title from data sheet.;Intended audience: Senior high school through college students and adults.;Issued also as videorecording.",,"m",,,,"[motion picture] :","\"
"994380530102311","The San Andreas Fault.","Produced in cooperation with the American Geological Institute.;With teacher's guide.",,"m",,,,"[motion picture]","\"
"994380560102311","Spreading oceans","Cataloging information taken from guide.",,"m",,,,"[motion picture] /","\"
"995269360102311","The Discovery of animal behaviour","Reproduction from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"992197130102311","The Magnificent Ambersons","Videocassette release of the 1942 motion picture by RKO Radio Pictures.;Based on the novel by Booth Tarkington.","VHS format.","v",,,,"[videorecording] /","\"
"993990940102311","Cation exchange properties of soils.","Slides in 1 carousel.",,"g",,,,"[slide]","\"
"994908780102311","The Rise and fall of the Third Reich.","Part two of a series based on the book: The rise and fall of the Third Reich by William L. Shirer.","U-matic.","v",,,,"[videorecording] /","\"
"995632710102311","Creative geometry experiments",,,,,,,,"0"
"995632490102311","Lets build",,,,,,,,"0"
"994981630102311","Our daily bread",,,"v",,,,"[videorecording] /","\"
"993830530102311","The Life and adventures of Nicholas Nickleby","VHS format, reproduced in Dolby stereo.;Videotape of London production, based on original stage production by Trevor Nunn and John Caird, available from CBS Video Enterprises.",,"v",,,,"[videorecording] /","\"
"994998130102311","China crisis","Videocassette copy.",,"m",,,,"[motion picture].","\"
"992228020102311","All's well that ends well","VHS format.",,"v",,,,"[videorecording] /","\"
"991178070102311","The American labor movement :","Mounted as 509 slides in 6 carousels.",,"g",,,,"[filmstrip]","\"
"995573730102311","North Atlantic jet flight",,,,,,,,"0"
"995486040102311","Manufacturers record featuring Tennessee",,,,,,,,"0"
"995132910102311","English fairy tales",,,,,,,,"0"
"995571500102311","Berlin Alexanderplatz","Originally shown on German television in 13 parts and an epilogue. This is the original, uncut version.;Subtitles in English.;Based on Alfred Döblin's novel, set in pre-Nazi Berlin.",,"v",,,,"[videorecording] /","\"
"995609760102311","The Presidency",,,,,,,,"\"
"994106950102311","[Estes Kefauver and Eleanor Roosevelt]","Reproduction from a U-matic.;Issued without title.;Originally with a separate sound track which is now missing.","DVD",,,,,"[videorecording] /","\"
"995650790102311","The wonder smith and his son",,,,,,,,"\"
"995389110102311","Applied Psychology monographs",,,,,,,,"0"
"995194180102311","Political spots",,,"v",,,,"[videorecording] /","\"
"994771470102311","Future shock.","With teacher's guide.",,"m",,,,"[motion picture]","\"
"994353580102311","The Geology of Southern Africa /",,,"m",,,,,"\"
"995609360102311","United Nations NY Photos",,,,,,,,"0"
"994981610102311","The New York School.",,,"m",,,,"[motion picture]","\"
"993359350102311","The sea behind the dunes","""Produced for Nova by Peace River Films.""",,"v",,,,"[videorecording] /","\"
"995641770102311","To read & to tell",,,,,,,,"0"
"994771440102311","The Troubled employee",,,"m",,,,"[motion picture] /","\"
"992109840102311","Determination of intraocular pressure (IOP) in small animal practice","Slides mounted in 1 carousel.;""A Pitman-Moore continuing educational program."";Produced in cooperation with the American Animal Hospital Association.;Institution: School of Medicine, University of North Carolina.",,"\",,,,"[slide] /","\"
"994111040102311","Senator Kefauver campaign issues","Copied from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"995578720102311","Merry Christmas to you",,,,,,,,"0"
"995008330102311","Sorry, no vacancy.","Longer version (53 min.) also issued.",,"m",,,,"[motion picture] /","\"
"993990980102311","Two Black churches","A production of Yale University Media Design Studio in cooperation with the Center for Southern Folklore. Produced in association with Howard Sayre Weaver.;Copied from U-matic.","DVD.",,,,,"[videorecording] /","\"
"995237160102311","These Plummer children",,,,,,,,"0"
"995093630102311","Are you there God Its me Margaret",,,,,,,,"0"
"992629050102311","Ophthalmoscopic interpretation of fundic lesions in animals","Slides mounted in 1 carousel.;""A Pitman-Moore continuing educational program."";Produced in cooperation with the American Animal Hospital Association.",,"g",,,,"[slide] /","\"
"994480060102311","Elvis '68 comeback","VHS format.;Videorecording of the performance given in 1968.",,"v",,,,"[videorecording]","\"
"995539850102311","The Solar atmosphere. [Motion picture]",,,"m",,,,,"\"
"995174630102311","Aging-- the methuselah syndrome",,,"v",,,,"[videorecording] /","\"
"995668760102311","The dark frigate",,,,,,,,"\"
"995589030102311","The Whispering Mountain",,,,,,,,"\"
"994771460102311","Moral development.",,,"m",,,,"[motion picture]","\"
"995578600102311","The childrens book of Christmas stories",,,,,,,,"\"
"995174620102311","The Pinks and the blues","Title from data sheet.;Reproduction from U-matic.;Intended audience: Adults.","DVD.","v",,,,"[videorecording] /","\"
"992041750102311","Terence Gray and the Cambridge Festival Theatre","Title from text.;Published in association with the Consortium for Drama and Media in Higher Education.",,"g",,,,"[slide] /","\"
"992126620102311","Intestinal anastomosis :","Slides mounted in 1 carousel.;""A Pitman-Moore continuing educational program."";Produced in cooperation with the American Animal Hospital Association.",,"n",,,,"[slide] /","\"
"995609330102311","The United Nations",,,,,,,,"\"
"991212150102311","Cannulation of vessels, ureters and pancreatic ducts :",,"U-matic.","v",,,,"[videorecording] /","\"
"992136100102311","Proctoscopy and colonoscopy in small animal veterinary medicine","Slides mounted in 1 carousel.;""A Pitman-Moore Continuing Educational Program."";Produced in cooperation with the American Animal Hospital Association.;Institution: Dept. of Veterinary Medicine and Surgery, University of Missouri.",,"n",,,,"[slide] /","\"
"995630650102311","Dancing time",,,,,,,,"0"
"993048670102311","Shakespeare's theater.","Mounted as 176 slides in 4 carousels.;Title on teacher's manual: The world of Shakespeare's theater by C. Walter Hodges.",,"g",,,,"[filmstrip]","\"
"993306200102311","Talking leaves","Copied from U-matic.","DVD.","v",,,,"[videorecording] :","\"
"992097290102311","Estes Kefauver and highlights of 1956 Democratic Convention.","Copied from three 16 mm CBS News films in the Estes Kefauver Collection housed in the Special Collections Department, University of Tennessee Library, Knoxville. Now U-Matic copied to DVD.","DVD.","v",,,,"[videorecording]","\"
"993962970102311","Roadside turfgrass :","Slides in 1 carousel.;""... developed by members of the Turfgrass Monograph Committee of Division C-5.""",,"g",,,,"[slide] /","\"
"996319470102311","State of siege","Dubbed into English.;Originally released as a motion picture in 1973 by Cinema 5.",,"v",,,,"[videorecording] /","\"
"995733060102311","Eight little plays for children",,,,,,,,"0"
"996274090102311","Chinese art after Mao","1 carousel.;An UCIS Media Series production; supported by the Pitt China Program of the University Center for International Studies. University of Pittsburgh.",,"g",,,,"[slide] :","\"
"996400840102311","An Occurrence at Owl Creek Bridge","VHS.;Originally released in France in 1962.;Based on a story of the same title by Ambrose Bierce.",,"v",,,,"[videorecording] /","\"
"995744250102311","The Water cycle.","Title from data sheet.;Second ed. of the motion picture issued in 1947.;Consultant, William H. Matthews.",,"m",,,,"[motion picture].","\"
"996282500102311","Black girl","Reproduction from U-matic.;Adaptation of the stage play Black girl, by J.E. Franklin.","DVD.","v",,,,"[videorecording] /","\"
"996463370102311","Serious moonlight","VHS format.;""M441."";At head of title: Music Media presents ...;""Stereo., Dolby processed"" -- spine of container.",,"v",,,,"[videorecording] /","\"
"995699020102311","Just so stories",,,,,,,,"0"
"995745580102311","The Compleat Beatles","Dolby stereo.;Program notes on container.;MV700166.",,"v",,,,"[videorecording] /","\"
"996101360102311","If you love this planet","Title from data sheet.;Intended audience: Ages 16 through adult.",,"m",,,,"[motion picture] :","\"
"995720110102311","Was Cromwell a revolutionary?",,,"v",,,,"[videorecording] /","\"
"996365200102311","Ready, steady, go!","VHS format.;""TVF 2195"";Videocassette release of original performances from the classic British T.V. show in the 1960's.",,"v",,,,"[videorecording] /","\"
"996285060102311","Richard M. Nixon",,,"v",,,,"[videorecording]","\"
"996326510102311","How to change the world, inspired by the thought of Teilhard de Chardin","Title from data sheet.;Intended audience: Senior high school through college and adult.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"996413590102311","The Daryl Hall & John Oates video collection","VHS format.;""VHS 60386"";Videocassette release of the 1984 concert produced by RCA Video Productions, Inc.",,"v",,,,"[videorecording] :","\"
"996101380102311","Who wants unions?","Title from data sheet.;Intended audience: Senior high school through adult.",,"m",,,,"[motion picture] /","\"
"995675290102311","Pilgrim Thanksgiving",,,,,,,,"0"
"995822750102311","Home, sweet homes","Title from data sheet.;Issued also as videorecording.",,"m",,,,"[motion picture] :","\"
"996285120102311","If elected ...","Title from data sheet.;Tape copy.",,"m",,,,"[motion picture]","\"
"996237400102311","The Sutton Hoo ship burial",,,"v",,,,"[videorecording] /","\"
"996367420102311","Earth: the restless planet.","Also issued as videocassette.;Edited from the motion picture entitled The violent earth.;With teacher's guide and collateral materials.",,"m",,,,"[motion picture]","\"
"996410700102311","Notions of stinking oceans?","Slides mounted in 1 carousel.;""Sponsored by the American Association of Petroleum Geologists."";""A 1984 distinguished lecture.""",,"g",,,,"[slide] :","\"
"995969320102311","Ernest East","Reproduced from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"995874040102311","Richard Scarrys funniest storybook ever",,,,,,,,"0"
"996368360102311","Mellow memories","VHS format.;""212-342"";Videocassette release of the 1984 program by Television Syndications, Inc.",,"v",,,,"[videorecording] /","\"
"995814250102311","Romeo and Juliet","Videocassette release of the 1968 motion picture by Paramount Pictures Corporation.;Based on the play, Romeo and Juliet, by William Shakespeare.;VHS format.;""VHS 6809.""",,"v",,,,"[videorecording] /","\"
"996002010102311","The feast.",,,"m",,,,"[motion picture] /","\"
"996158460102311","Speaking Shakespearean verse","Made by London Weekend Television in 1979 for the television program The South Bank Show.;Title from container.",,"v",,,,"[videorecording].","\"
"996276210102311","How nations are governed","Tape copy.;Supplement contains textual material, 12 visuals for transparencies, and 36 duplicating masters of narrative readings.",,"\",,,,"[filmstrip] :","\"
"996368350102311","The Soul experience","VHS format.;""212-343"";Videocassette release of the 1984 program by Television Syndications, Inc.",,"v",,,,"[videorecording] /","\"
"996389660102311","It's a wonderful life.","Tape copy.",,"m",,,,"[motion picture] /","\"
"996461170102311","A writers' inspiration, Appalachia","Title from brochure announcing Library Day activities.;A videorecording of the 37th University of Tennessee Library lecture, May 24, 1984.;Includes greeting by Donald R. Hunt, introduction by Dr. Ralph Norman, and the greater part of the lecture by Richard Marius.;Copied from U-matic.","DVD","v",,,,"[videorecording] /","\"
"995867130102311","How the Grinch stole Christmas",,,,,,,,"0"
"995692740102311","Facts about the Presidents",,,,,,,,"0"
"995766330102311","[Photographs of Norris Dam construction.]","In two binders (29 cm.)",,,,,,,"\"
"995942390102311","[Grand Canyon and Havasupai photographs.]","In portfolio.",,,,,,,"\"
"996265040102311","Secondary reservoir porosity in the course of sandstone diagenesis.","In 2 carousels;""A continuing education course presented at the 1979 AAPG annual meeting in Houston.""",,"g",,,,"[slide] /","\"
"995895110102311","Rational emotive therapy","Title from data sheet.;Intended audience: College students, adults, counselors, social workers, etc.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"996365610102311","Scholastic's Black culture program","Mounted as slides in 13 carousels.;Tape copy.;With additional phonodisc entitled Black music III.;With teacher's manual.",,"g",,,,"[filmstrip]","\"
"996266940102311","Structural interpretation of seismic data","In 1 carousel;""A continuing education course presented for the Dallas Geological Society February, 1981.""--Container.",,"g",,,,"[slide] /","\"
"996252120102311","Rime burlesche",,,,,,,,"0"
"995895150102311","I shall moulder before I shall be taken","Reproduction from U-matic.","DVD.","v",,,,"[videorecording] :","\"
"996368370102311","Heartland reggae","VHS format.;""VHS 1011"";Videocassette release of the 1981 concert by Canada Offshore Cinema, Ltd. and Media Aides Limited.",,"v",,,,"[videorecording] /","\"
"995870270102311","Andy and the lion",,,,,,,,"0"
"996266960102311","Diagenesis","In 1 carousel.;Sound accompaniment compatible for manual and automatic operation.",,"g",,,,"[slide] :","\"
"996288010102311","Justice Black and the Bill of rights.","Reproduction from U-Matic.;Telecast as a CBS News special, Dec. 10, 1968.","DVD","v",,,,"[videorecording] /","\"
"996366520102311","The Other side of Nashville","VHS format.",,"v",,,,"[videorecording] /","\"
"996446420102311","Cinderella","Serial no. 245.;VHS format.;Title on container: Bolshoi's Cinderella.",,"v",,,,"[videorecording] :","\"
"996457420102311","The Evolution of the southern oceans",,,"m",,,,"[motion picture] / Shell Development Company ; a computer animation by Christopher R. Scotese and William C. Ross with assistance from Linda P. Dodge ; based on various published studies by R.L. Fisher [et al.] ; produced by Sigmund Snelson.","\"
"995874820102311","Little bears visit",,,,,,,,"0"
"996437840102311","Why man creates","Based upon the Metropolitan Museum of Art's Centennial Exhibition, Masterpieces of fifty centuries.",,"g",,,,"[slide] :","\"
"995809030102311","Mexico: the frozen revolution.","English version of the motion picture entitled Mexico: la revolución congelada.",,"m",,,,"[motion picture]","\"
"995702400102311","Castration of the dog","Title from container.","U-matic.","v",,,,"[videorecording] /","\"
"995888280102311","A Perfectly normal day.",,,"m",,,,"[motion picture].","\"
"996367470102311","Our dynamic Earth.","Title from data sheet.;Also issued as videorecording.",,"m",,,,"[motion picture] /","\"
"995744260102311","Groundwater","Title from data sheet.;Intended audience: Ages 14 through adult.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"996230200102311","Dealing with angry customers","Title from data sheet.;Intended audience: College students, adults, and sales personnel.",,"m",,,,"[motion picture] /","\"
"996406910102311","[Field problems of tropical rice","Mounted in 2 carousels.;Accompanies the book of the same title.",,"g",,,,"[slide]","\"
"995898450102311","From periodotite to granite",,,"m",,,,"[motion picture] /","\"
"996395960102311","Life goes to the movies","Includes discussion guide (133 p.).;Title from data sheet.;Copied from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"995870860102311","The twenty-fourth book of the Iliad",,,,,,,,"\"
"996341930102311","Women artists",,,"g",,,,"[slide] :","\"
"996463380102311","The Who rocks America, 1982 American tour","VHS format.;""VHS 6234"";Videocassette release of their 1982 concert tour by Profile Publishing and Management Corporation.",,"v",,,,"[videorecording] /","\"
"995863350102311","The Ragged revolution",,,"m",,,,"[motion picture] :","\"
"996311680102311","Cantometrics :","AT 349-AT355.",,,,,,,"\"
"996396980102311","The History of the European theatre","Mounted as slides in carousels.",,"g",,,,"[filmstrip]","\"
"996464710102311","Wagner's Ring.","Opera in 3 acts.;Sung in German ; subtitles in English.;VHS format.;Films for the Humanities: FFH 742.",,"v",,,,"[videorecording]","\"
"996464690102311","Wagner's Ring.","Opera in 3 acts.;Sung in German ; subtitles in English.;VHS format.;Films for the Humanities: FFH 743.",,"v",,,,"[videorecording]","\"
"996464670102311","Wagner's Ring.","Opera in 1 act.;Sung in German ; subtitles in English.;VHS format.;Films for the Humanities: FFH 741.",,"v",,,,"[videorecording]","\"
"995761760102311","Indian history for young folks",,,,,,,,"0"
"995822760102311","A Case of working smarter, not harder","Title from data sheet.;Title on leader's guide: Working smarter, not harder.;Intended audience: Senior high school through adult.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"996402140102311","Stratigraphic modeling and interpretation","Slides mounted in 2 carousels.;""Two screens are necessary for this slide presentation... Projectors will be used simultaneously, alternately, and sometimes one slide will be held on one screen while several are changed on the other."";Sponsored by the American Association of Petroleum Geologists.;pt.1 is for left side projection; pt 2 for right side.",,"g",,,,"[slide] :","\"
"996057130102311","Lavas of Etna","Cataloging information from guide.",,"m",,,,"[motion picture] /","\"
"996408840102311","Humor and satire","Sound accompaniment compatible for manual and automatic operation.;Teacher's guide written by Judith B. Stamper.;Mounted as 366 slides in 4 carousels.;Tape copy.",,"g",,,,"[filmstrip]","\"
"995800590102311","Iphigenia","VHS format.;In Greek, subtitles in English.;Based on the ancient Greek tragedy by Euripides.",,"v",,,,"[videorecording] /","\"
"996341950102311","Women artists",,,"g",,,,"[slide] :","\"
"995706780102311","Men and their planet","Cataloging information from publisher's brochure.",,"m",,,,"[motion picture] /","\"
"996193790102311","Street scene","VHS format.;""Adapted for screen by Elmer Rice from his Pulitzer prize play.""",,"v",,,,"[videorecording] /","\"
"995841480102311","The Ceramic world of Shiro Otani",,,"v",,,,"[videorecording]","\"
"996264660102311","The Age of uncertainty",,"U-matic.","v",,,,"[videorecording] :","\"
"996165770102311","The American Mother Goose",,,,,,,,"\"
"995874880102311","The night before Christmas",,,,,,,,"\"
"996370830102311","Macbeth","A television production of the Lincoln Center Theater Company and Lincoln Center for the Performing Arts, Inc.;A dramatization of William Shakespeare's play entitled Macbeth.","VHS.","v",,,,"[videorecording] /","\"
"996099110102311","Drug induced extrapyramidal reactions.",,,"m",,,,"[motion picture].","\"
"996278940102311","Vantage point","Reproduction from U-matic.","DVD",,,,,"[videorecording] /","\"
"995808990102311","The kids are alright","VHS format.;""TVF 1082"";Videorecording of the 1979 motion picture.",,"v",,,,"[videorecording] /","\"
"995830320102311","Epidemic! kids, drugs, and alcohol","Title from data sheet.;Intended audience: Young people and adults.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"995969330102311","Nimrod Workman.","U standard.",,"v",,,,"[videorecording] /","\"
"996413290102311","Herbie Hancock and the Rockit Band","VHS format.;""VHS 6619"";Performed live at the Hammersmith Odeon and Camden Palace in London, England.",,"v",,,,"[videorecording] /","\"
"995681520102311","Poems",,,,,,,,"0"
"996091890102311","Dissociative anesthesia.","Produced in cooperation with the Department of Clinical Sciences, College of Veterinary Medicine, Colorado State University, Fort Collins, Colorado.",,"s",,,,"[slide] /","\"
"996407220102311","The new tenant /",,,"v",,,,"[videorecording]","\"
"995707870102311","Our mineral world","Cataloging information taken from container.",,"m",,,,"[motion picture].","\"
"995969470102311","Genuine risk",,"U-matic.","v",,,,"[videorecording] /","\"
"995875320102311","Stardust Mother Goose",,,,,,,,"0"
"995750520102311","Fossils, clues to the past","Intended audience: Grades 7-12 and adults.;Issued also as videorecording.",,"m",,,,"[motion picture] /","\"
"996404980102311","Candide","Title from data sheet.;Copied from U-matic.","DVD","v",,,,"[videorecording] /","\"
"996101330102311","Bonus march 1932",,,"m",,,,"[motion picture]","\"
"995941810102311","Thoracic inlet, thoracic trachea, and bronchial collapse","Title on container: Collapsing tracheas & bronchi.","U-matic.","v",,,,"[videorecording] /","\"
"996224580102311","America 1935-1946","Subtitle at top of microfiches : The FSA/OWI photographs.;Caption title from Index to the microfiche: The Farm Security Administration/Office of War Information photograph collections.;Photographs arranged by region and by subject.;Location of original photographs: Prints and Photographs Division, Library of Congress, Washington, D.C.;Accompanied by index: America 1935-1946, index to the microfiche.",,"\",,,,"[microform].","\"
"997740970102311","Granby's primates",,,"v",,,,"[videorecording] :","\"
"997805400102311","Julius Caesar","Title from cassette label.;""The Berlin State Opera conducted by Peter Schreier; German version directed by Hans Krenitz.""--Container cover.","VHS.","v",,,,"[videorecording] /","\"
"997922250102311","The Americans","Title on container: The Latin American and Caribbean presence in the U.S.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"998037290102311","Multi-image production packet.",,,,,,,,"\"
"997778880102311","The Image makers","""The John D. & Catherine T. MacArthur Foundation Library Video Classics Project"";Videocassette release of the 1984 production.;Dates vary: on cassette, c1984; publicity material, c1988.",,"v",,,,"[videorecording] /","\"
"997824140102311","Tadao Ando","VHS format.",,"v",,,,"[videorecording] /","\"
"997984430102311","Combat for the stage & screen","Title on container: Combat for stage and screen.",,"v",,,,"[videorecording] /","\"
"997748110102311","Aristotle's ethics","Originally issued as a 16 mm. motion picture.",,"v",,,,"[videorecording] :","\"
"997884060102311","Music education support groups","VHS format.",,"v",,,,"[videorecording] /","\"
"997899510102311","Arnold Schoenberg","VHS format.",,"v",,,,"[videorecording] :","\"
"997952350102311","Corner in wheat","Title on container: D.W. Griffith's Corner in wheat ...;""The masterworks of D.W. Griffith.""","VHS format.","v",,,,"[videorecording] :","\"
"997857210102311","Bidú Sayão in opera & song","Title from cassette label.;VHS Hi-Fi.;""69103.""",,"v",,,,"[videorecording] /","\"
"997881200102311","Salome","Opera in one act.;Sung in German.;Soundtrack digitally remastered.;Includes English subtitles.;Synopsis in English and French (14 p.) inserted in container.;Deutsche Grammophon 072 209-3.","VHS format.","v",,,,"[videorecording] /","\"
"997922160102311","The Garden of forking paths","Title on container: The garden of forking paths: dilemmas of national development.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997836420102311","Old English--Beowulf","Introductory remarks in English; selections from Beowulf in Old English.","VHS format.","v",,,,"[videorecording] /","\"
"997910380102311","Arbuckle festival","VHS format.;Title on original container: Fatty Arbuckle festival.;Music sound track added.",,"v",,,,"[videorecording] /","\"
"997910690102311","True colors","VHS format.;""6745M"";Broadcast on ABC's PrimeTime Live, Sept. 26, 1991.;Includes discussion guide.",,"v",,,,"[videorecording]","\"
"998034100102311","Universe.",,,"m",,,,"[motion picture] /","\"
"997804830102311","The history of bands in America","VHS format.",,"v",,,,"[videorecording]","\"
"997835970102311","Renata Scotto in concert","VHS format.;Hi-fi.;""69068.""",,"v",,,,"[videorecording].","\"
"997828880102311","Victoria de los Angeles : the jubilee recital.","VHS format.",,"v",,,,"[videorecording]","\"
"997927440102311","Charlie Rose","Title on cassette label: Gehry & Arnold.",,"v",,,,"[videorecording] :","\"
"997906980102311","Rhythm and movement in art","VHS format.",,"v",,,,"[videorecording] /","\"
"997910580102311","The Rise of Greek tragedy","VHS format.;Publisher's no.: FFH 118.",,"v",,,,"[videorecording] :","\"
"997925820102311","Yari no Gonza","In Japanese with English subtitles.;Videocassette release of a 1985 motion picture by Hyogensha Shochiku Co. Ltd.;Based on the Monzaemon Chikamatsu play.",,"v",,,,"[videorecording]=","\"
"997829740102311","Maria Callas","""1168"";VHS hi-fi.",,"v",,,,"[videorecording] :","\"
"997791710102311","Presenting Joan Sutherland","Videocassette release of the original kinescope masters preserved in the archives of New England Conservatory in Boston.;""69108""","VHS.","v",,,,"[videorecording] /","\"
"997884110102311","History of popular music","VHS format.",,"v",,,,"[videorecording] /","\"
"997881210102311","Die Meistersinger von Nürnberg","Videocassette release of a recording by Unitel manufactured for and marketed by PolyGram Music Video in 1984.;Sung in German, subtitled in English.",,"v",,,,"[videorecording] /","\"
"997922230102311","Get up, stand up","Title on container: Getup, standup: problems of sovereignty.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997824880102311","La Bohème","VHS format.;Sung in Italian with English subtitles.",,"v",,,,"[videorecording] /","\"
"997827070102311","Maria Callas Hamburg concert 1962","VHS format.;1156.",,"v",,,,"[videorecording] /","\"
"997884040102311","Aaron Copland","VHS format.;""Funding provided by the Corporation for Public Broadcasting and WNET/Channel 13."";""FFH 989.""",,"v",,,,"[videorecording] :","\"
"997922200102311","In women's hands","Title on container:In women's hands: the changing roles of women.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997885480102311","Food guide pyramid","""August 1992."";Shipping list no. 93-0108-P.",,"k",,,,"[picture] :","\"
"997984400102311","The Sacrifice","In Swedish with English subtitles.;Title on container: Andrei Tarkovsky's The sacrifice.;Videocassette release of the 1986 motion picture ; Special Jury Prize, Cannes Film Festival, 1986.;""PAV 661""",,"v",,,,"[videorecording] /","\"
